locatienaam,datum,frequentie,norm/eis,kritisch punt (onderwerp),verdieping,ruimte,advies: controlemiddel,nr.,hoofd- functie,uitgevoerd,opmerking,ingevuld door,ingevuld op,schema afgesloten,appt nr. 1,appt nr. 2
Nieuwehagen (HW),2018-12-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Tweede etage,2.36 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",322,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-12-18 09:59:20,JA,2.36,
Nieuwehagen (HW),2018-12-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Derde etage,3.36 Werkkast (schoonmaakruimte),"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",430,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-12-18 09:59:20,JA,3.36,
Nieuwehagen (HW),2018-12-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Derde etage,3.42 Logeerkamer bewoners,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",436,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2018-12-18 09:59:20,JA,3.42,
Nieuwehagen (HW),2018-12-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Begane grond,0.22 Tussen het verlaagde plafond verpleegkamer 0.22 bestemd voor de begane grond en eerste verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",530,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2018-12-18 09:59:20,JA,0.22,0.22
Nieuwehagen (HW),2018-12-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Tweede etage,2.60 Gang nabij de doucheruimte apppartement 2.60 tweede verdieping. Bestemd ook voor de derde verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",531,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2018-12-18 09:59:20,JA,2.60,2.60
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,Kleedruimte heren,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",17,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,0.31 Werkplaats technische dienst,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",28,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,0.31,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelkraan,Begane grond,Spoelbak nabij de receptie begane grond,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",32,Koud water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Begane grond,0.49 Spoelruimte PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",161,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,0.49,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Begane grond,0.60 Teampost PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",164,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,0.60,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.60 Personeelsruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",171,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,1.60,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.47 Huiskamer,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",230,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,1.47,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Eerste etage,1.21 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",241,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,1.21,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Tweede etage,2.06 Logopodie/Psyo ruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",293,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,2.06,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Tweede etage,2.36 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",322,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,2.36,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Derde etage,3.36 Werkkast (schoonmaakruimte),"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",430,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,3.36,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Derde etage,3.42 Logeerkamer bewoners,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",436,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,3.42,
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Begane grond,0.22 Tussen het verlaagde plafond verpleegkamer 0.22 bestemd voor de begane grond en eerste verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",530,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,0.22,0.22
Nieuwehagen (HW),2019-01-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Tweede etage,2.60 Gang nabij de doucheruimte apppartement 2.60 tweede verdieping. Bestemd ook voor de derde verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",531,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2019-01-29 12:45:57,JA,2.60,2.60
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,Kleedruimte heren,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",17,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,0.31 Werkplaats technische dienst,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",28,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,0.31,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelkraan,Begane grond,Spoelbak nabij de receptie begane grond,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",32,Koud water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Begane grond,0.49 Spoelruimte PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",161,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,0.49,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Begane grond,0.60 Teampost PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",164,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,0.60,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.60 Personeelsruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",171,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,1.60,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.47 Huiskamer,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",230,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,1.47,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Eerste etage,1.21 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",241,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,1.21,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Tweede etage,2.06 Logopodie/Psyo ruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",293,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,2.06,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Tweede etage,2.36 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",322,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,2.36,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Derde etage,3.36 Werkkast (schoonmaakruimte),"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",430,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,3.36,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Derde etage,3.42 Logeerkamer bewoners,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",436,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,3.42,
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Begane grond,0.22 Tussen het verlaagde plafond verpleegkamer 0.22 bestemd voor de begane grond en eerste verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",530,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,0.22,0.22
Nieuwehagen (HW),2019-02-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Tweede etage,2.60 Gang nabij de doucheruimte apppartement 2.60 tweede verdieping. Bestemd ook voor de derde verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",531,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2019-02-26 10:40:25,JA,2.60,2.60
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,Kleedruimte heren,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",17,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,0.31 Werkplaats technische dienst,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",28,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,0.31,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelkraan,Begane grond,Spoelbak nabij de receptie begane grond,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",32,Koud water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Begane grond,0.49 Spoelruimte PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",161,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,0.49,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Begane grond,0.60 Teampost PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",164,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,0.60,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.60 Personeelsruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",171,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,1.60,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.47 Huiskamer,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",230,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,1.47,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Eerste etage,1.21 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",241,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,1.21,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Tweede etage,2.06 Logopodie/Psyo ruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",293,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,2.06,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Tweede etage,2.36 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",322,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,2.36,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Derde etage,3.36 Werkkast (schoonmaakruimte),"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",430,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,3.36,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Derde etage,3.42 Logeerkamer bewoners,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",436,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,3.42,
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Begane grond,0.22 Tussen het verlaagde plafond verpleegkamer 0.22 bestemd voor de begane grond en eerste verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",530,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,0.22,0.22
Nieuwehagen (HW),2019-03-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Tweede etage,2.60 Gang nabij de doucheruimte apppartement 2.60 tweede verdieping. Bestemd ook voor de derde verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",531,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2019-03-26 13:20:34,JA,2.60,2.60
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,Kleedruimte heren,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",17,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,0.31 Werkplaats technische dienst,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",28,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,0.31,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelkraan,Begane grond,Spoelbak nabij de receptie begane grond,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",32,Koud water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Begane grond,0.49 Spoelruimte PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",161,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,0.49,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Begane grond,0.60 Teampost PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",164,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,0.60,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.60 Personeelsruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",171,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,1.60,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.47 Huiskamer,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",230,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,1.47,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Eerste etage,1.21 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",241,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,1.21,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Tweede etage,2.06 Logopodie/Psyo ruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",293,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,2.06,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Tweede etage,2.36 Werkkast,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",322,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,2.36,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Mengkraan,Derde etage,3.36 Werkkast (schoonmaakruimte),"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",430,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,3.36,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Derde etage,3.42 Logeerkamer bewoners,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",436,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,3.42,
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Begane grond,0.22 Tussen het verlaagde plafond verpleegkamer 0.22 bestemd voor de begane grond en eerste verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",530,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,0.22,0.22
Nieuwehagen (HW),2019-04-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Warmtapwatercirculatiesysteem deelring,Tweede etage,2.60 Gang nabij de doucheruimte apppartement 2.60 tweede verdieping. Bestemd ook voor de derde verdieping,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",531,Warmwatercirculatie,JA,,Servicedienst Nieuwehagen,2019-04-30 14:04:04,JA,2.60,2.60
Nieuwehagen (HW),2019-05-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,Kleedruimte heren,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",17,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-06-03 08:20:27,JA,,
Nieuwehagen (HW),2019-05-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Kelder,0.31 Werkplaats technische dienst,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",28,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-06-03 08:20:27,JA,0.31,
Nieuwehagen (HW),2019-05-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelkraan,Begane grond,Spoelbak nabij de receptie begane grond,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",32,Koud water,JA,,Servicedienst Nieuwehagen,2019-06-03 08:20:27,JA,,
Nieuwehagen (HW),2019-05-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Begane grond,0.49 Spoelruimte PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",161,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-06-03 08:20:27,JA,0.49,
Nieuwehagen (HW),2019-05-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Wastafelmengkraan,Begane grond,0.60 Teampost PG afdeling,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",164,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-06-03 08:20:27,JA,0.60,
Nieuwehagen (HW),2019-05-01,Maandelijks,Koudwatertemperatuur: lager dan 25°C. Warmwatertemperatuur: hoger dan 60°C.,Keukenmengkraan,Eerste etage,1.60 Personeelsruimte,"Meet de temperatuur, wacht tot het water een constante temperatuur heeft bereikt en noteer deze bij opmerking.",171,Koud water/warm water,JA,,Servicedienst Nieuwehagen,2019-06-03 08:20:27,JA,1.60,
