no_,description,customer no_,name,address,city,post code,county,bill-to customer no_,bill-to name,bill-to post code,bill-to city,order date,order time,starting date,expected hours,modified on,modified by,assigned to,service contract no_,service package,service location no_,collect invoices by old,status,base service order no_,base service order,created on,created by,employee no_,final planning dsp,order type dsp,service cluster,posted hours (gantt chart),finished hours (gantt chart),house no_,house no_ ext_,recording work order no_,tenant no_,limit budget exceedance,process structure code,causer source type,causer source no_,sms reminder sent,plant meter,allow invoice separately
SOHS93517,Halfj koper/zilver,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:04.313,2018-01-25 00:00:00.000,0.52,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS93517,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE019564,0,,15.0,0,0,71,,,,0,,0,,0,,0
SOHS93518,Halfj koper/zilver,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:04.137,2018-07-01 00:00:00.000,0.52,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS93518,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE019564,0,,15.0,0,0,71,,,,0,,0,,0,,0
SOHS93519,Halfj mon,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:04.043,2018-04-01 00:00:00.000,1.3,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS93519,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE019564,0,,1.0,0,0,71,,,,0,,0,,0,,0
SOHS93520,Halfj mon + extra mon,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:03.597,2018-10-01 00:00:00.000,1.3,2019-01-11 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS93520,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE019564,0,,1.0,0,0,71,,,,0,,0,,0,,0
SOHS93521,Jaarl ctb (1e controle),KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:03.393,2018-03-01 00:00:00.000,39.9,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS93521,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE018235,0,,3.0,0,0,71,,,,0,,0,,0,,0
SOHS93522,Jaarl ba,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:03.347,2018-03-01 00:00:00.000,0.6,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS93522,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE018235,0,,8.0,0,0,71,,,,0,,0,,0,,0
SOHS93523,Jaarl mp IIIc,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:03.300,2018-04-01 00:00:00.000,0.26,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS93523,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE019564,0,,6.0,0,0,71,,,,0,,0,,0,,0
SOHS93524,Jaarl thermometer,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:03.220,2018-04-01 00:00:00.000,0.13,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS93524,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE019564,0,,28.0,0,0,71,,,,0,,0,,0,,0
SOHS93525,Controle sensoren Privasysteem 1x per 3 jaar,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-01-24 00:00:00.000,1754-01-01 12:02:03.157,2018-08-01 00:00:00.000,1.75,2018-12-01 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,6,SOHS93525,1,2018-01-24 00:00:00.000,NTD1\OOMEL1,RE022477,0,,79.0,0,0,71,,,,0,,0,,0,,0
SOHS94128,Ral + bpl + NEN 1006 + tapp + bestekverslag,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-02-05 00:00:00.000,1754-01-01 08:50:21.783,2018-02-19 00:00:00.000,32.0,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS94128,1,2018-02-05 00:00:00.000,NTD1\OOMEL1,RE024488,0,,,0,0,71,,,,0,,0,,0,,0
SOHS95263,Maandelijkse mon koper/zilverinstallatie 2 mons ,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-02-21 00:00:00.000,1754-01-01 11:16:47.320,2018-02-23 00:00:00.000,0.84,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS95263,1,2018-02-21 00:00:00.000,NTD1\OOMEL1,RE019564,0,,,0,0,71,,,,0,,0,,0,,0
SOHS98468,Kwartaal mon koper/zilverinstallatie 3 mons ,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-04-25 00:00:00.000,1754-01-01 07:44:41.023,2018-04-30 00:00:00.000,1.01,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS98468,1,2018-04-25 00:00:00.000,NTD1\OOMEL1,RE019564,0,,,0,0,71,,,,0,,0,,0,,0
SOHS99617,Maandelijkse mon koper/zilverinstallatie 2 mons ,KLHS01513,01.03.004.01 Noorderkroon (HW),Manis Krijgsmanhof 71,S HERTOGENBOSCH,5233 BR,,KLHS01513,BrabantWonen,5340 AD,OSS,2018-05-25 00:00:00.000,1754-01-01 12:27:40.583,2018-05-28 00:00:00.000,0.84,2018-10-08 00:00:00.000,NTD1\OOMEL1,RE000012,SCHS02088,A6MF1J,SLHS09697,6,4,SOHS99617,1,2018-05-25 00:00:00.000,NTD1\OOMEL1,RE019564,0,,,0,0,71,,,,0,,0,,0,,0
